Artist	Album	Date Listened	Score	Normalized	Stars	Vibes	Image	Write-up
Hotline TNT	Cartwheel	November 3	9.4	5.0	★★★★★	shoegaze	https://m.media-amazon.com/images/I/71OpsbB+m3L.jpg	Hotline TNT
Caroline Polachek	Desire, I Want To Turn Into You	February 16	9.3	4.9	★★★★★	pop, tender, vocally	https://m.media-amazon.com/images/I/71fz6o1OlKL.jpg	Caroline's post-Chairlift output has seen her embracing synthesized ultra-pop, while continuining to flex her incredible vocal range. Desire features less of previous album Pang's PC Music collaboration, but Caroline's own production more than fills the gap in the last half of the album.
Parannoul	After the Magic	January 28	9.2	4.7	★★★★✬	discordant, electronic	https://m.media-amazon.com/images/I/81wJMxowwyL.jpg	Trading the stochastic and crunchy noise of 2021's To See the Next Part of The Dream for streamlined melodies and vocals brings Parannoul's songcraft into the focus. Adding texture in this more traditional way gives the album room to breath and tell a more varied story with new varying instrumentation.
boygenius	the record	March 31	9.1	4.6	★★★★✬	indie, alternative, boy	https://m.media-amazon.com/images/I/61uivya+h7L.jpg	The year of the boy comes to a close with a phenomenal, mainstream crossover smash from boygenius. What started as a passion project from three, quietly adored singer-songwriters exploded into a worldwise sensation and the record reflects the hyper focus necessary to spend a year making music and touring with your supergroup like this. Also it's wonderfully sapphic and I know my friends like that, and I really appreciate all the silly little outfits they put Julien into this year.
Black Country, New Road	Live at Bush Hall	March 24	9.1	4.6	★★★★✬	dark, discordant, tender	https://m.media-amazon.com/images/I/81bEx6EPcbL.jpgg	"Don't waste your pearls on me" is echoed across album powerhouse song "Turbines/Pigs", ten minutes long and set against beautiful and wandering piano notes. BCNR were forced to reinvent themselves after the departure of frontman Isaac Woods, but have metamorphised into a tender new sound cut through with their old intensity.
Wednesday	Rat Saw God	April 7	9.1	4.6	★★★★✬	indie, dark, shoegaze, epic	https://m.media-amazon.com/images/I/A1rvMu6efFL.jpgg	Wednesday mixes styles and influences seamlessly, bouncing between classic indie and noisy shoegazes with effortless aplomb. All this to craft a dark album with a laser focus.
Home Is Where	the whaler	June 16	9.1	4.6	★★★★✬	emo	https://m.media-amazon.com/images/I/91zvM+SKfEL.jpg	I spent my fair share of the last couple years beating my friends over the head with this band's 2021 EP, I Became Birds. Technically their first LP, the whaler brings out the expertly crafted stochastic emo of Home Is Where to paint portraits of every kind of modern angst.
DJ Sabrina The Teenage DJ	Destiny	August 18	9.1	4.6	★★★★✬	pop, dance	https://m.media-amazon.com/images/I/71HLlkJ8ufL.jpgg	The most ascendant DJSTTDJ collection, an album of such length and power it transcends the medium, finds Sabrina in the throes of crafting seamless beats for almost four hours. Any song can be played at any moment, which is necessary to try to even fit this album into one's daily life, and a wave of comforting, stimulating dance music will follow. Somehow, inhumanly, full of bangers from start to finish.
Ratboys	The Window	August 25	9.1	4.6	★★★★✬	indie,punk	https://m.media-amazon.com/images/I/81NZX4MYeaL.jpgg	This album made me emotionally attached to windows.
Jeff Rosenstock	HELLMODE	September 5	9.1	4.6	★★★★✬	indie,punk	https://m.media-amazon.com/images/I/61J7xpqGc4L.jpg	Jeff Rosenstock has long since transcended ska punk, finding himself at the nexus of cathartic indie while still mixing the ska tinged anthems he's known for. Few albums this year have captured the utter chaos we are forced to confront every day, but HELLMODE smashes right into that with room to contemplate our deepest of feelings too.
Mitski	The Land Is Inhospitable and So Are We	September 15	9.1	4.6	★★★★✬	indie	https://m.media-amazon.com/images/I/81EdGU1MkWL.jpg	Having mature alongside the earlier Mitski works, I often suffer whiplash from the quality of the later releases. Mitski rarely reinvents her sound, every album is an incremental step forward and each one cements her songcraft further.
